City ID,City,Country,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed
5848280,Kapaa,US,22.0752,-159.319,80.55,63,40,4.0
5106841,Albany,US,42.6001,-73.9662,60.08,81,100,2.42
342559,Bedēsa,ET,8.9,40.7833,59.74,89,100,4.7
3652764,Puerto Ayora,EC,-0.7393,-90.3518,72.55,92,28,5.01
964432,Port Alfred,ZA,-33.5906,26.891,67.71,41,93,11.1
3662762,Porto Velho,BR,-8.7619,-63.9039,77.05,83,0,5.75
2071860,Esperance,AU,-33.8667,121.9,58.84,74,100,7.47
1282256,Hithadhoo,MV,-0.6,73.0833,83.07,74,26,10.89
3418910,Upernavik,GL,72.7868,-56.1549,34.68,94,85,10.31
2400547,Gamba,GA,-2.65,10.0,75.31,92,87,2.8
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,66,75,11.5
698770,Ochakiv,UA,46.6128,31.5498,57.24,83,4,8.81
5122534,Jamestown,US,42.097,-79.2353,66.54,97,46,4.85
4328010,Houma,US,29.5958,-90.7195,80.28,84,1,4.61
3412093,Vestmannaeyjar,IS,63.4427,-20.2734,41.16,62,1,26.17
2032201,Bulgan,MN,48.8125,103.5347,56.17,71,100,8.75
3369157,Cape Town,ZA,-33.9258,18.4232,54.32,83,0,4.61
2155415,New Norfolk,AU,-42.7826,147.0587,56.89,86,100,1.01
3833367,Ushuaia,AR,-54.8,-68.3,40.66,75,90,6.91
4034551,Faanui,PF,-16.4833,-151.75,78.24,82,53,15.86
3831208,Qaanaaq,GL,77.484,-69.3632,34.93,68,62,6.55
3664659,Carauari,BR,-4.8828,-66.8958,74.28,92,100,2.06
1591474,Bac Lieu,VN,9.285,105.7244,80.51,78,100,10.6
5374920,Morro Bay,US,35.3658,-120.8499,62.92,70,0,7.0
3421193,Paamiut,GL,61.994,-49.6678,37.71,83,100,8.21
1578500,Kon Tum,VN,14.35,108.0,71.56,98,100,3.83
2022572,Khatanga,RU,71.9667,102.5,44.02,48,100,1.81
6201424,Mataura,NZ,-46.1927,168.8643,52.3,72,23,2.68
1714733,Dingle,PH,10.9995,122.6711,83.53,76,100,5.01
1492466,Shalinskoye,RU,55.7228,93.7594,55.8,54,50,10.69
